APURAÇÃO;PRODUTO;VENDEDOR;SUPERVISOR;CANAL_VENDAS;META
;;;;Lojas Próprias;8300
;;Jack Bauer;Teobaldo Souza;Internet;5400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8300
;;Michael Scofield;Astolfo Péricles;Internet;5400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8300
;;Norma Bates;Teobaldo Souza;Internet;5400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8300
;;Randal Pearson;Josvaldo Ferreira;Internet;5400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8300
;;Shaun Murphy;Clementina Silva;Internet;5400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8300
;;Thomas Shelby;Carleta Joaquina;Internet;5400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8300
;;Walter White;Carleta Joaquina;Internet;5400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8300
;Café Ouro;Annalise Keating;Josvaldo Ferreira;Internet;4000
;;;;Lojas Afiliadas;7300
;;;;Lojas Próprias;7500
;;Dexter Morgan;Josvaldo Ferreira;Internet;4000
;;;;Lojas Afiliadas;7300
;;;;Lojas Próprias;7500
;;Elliot Alderson;Clementina Silva;Internet;4000
;;;;Lojas Afiliadas;7300
;;;;Lojas Próprias;7500
;;Gregory House;Clementina Silva;Internet;4000
;;;;Lojas Afiliadas;7300
;;;;Lojas Próprias;7500
;;Ítalo Teotônio;Carleta Joaquina;Internet;4000
;;;;Lojas Afiliadas;7300
;;;;Lojas Próprias;7500
;;Jack Bauer;Teobaldo Souza;Internet;4000
;;;;Lojas Afiliadas;7300
;;;;Lojas Próprias;7500
;;Michael Scofield;Astolfo Péricles;Internet;4000
;;;;Lojas Afiliadas;7300
;;;;Lojas Próprias;7500
;;Norma Bates;Teobaldo Souza;Internet;4000
;;;;Lojas Afiliadas;7300
;;;;Lojas Próprias;7500
;;Randal Pearson;Josvaldo Ferreira;Internet;4000
;;;;Lojas Afiliadas;7300
;;;;Lojas Próprias;7500
;;Shaun Murphy;Clementina Silva;Internet;4000
;;;;Lojas Afiliadas;7300
;;;;Lojas Próprias;7500
;;Thomas Shelby;Carleta Joaquina;Internet;4000
;;;;Lojas Afiliadas;7300
;;;;Lojas Próprias;7500
;;Walter White;Carleta Joaquina;Internet;4000
;;;;Lojas Afiliadas;7300
;;;;Lojas Próprias;7500
;Café Prata;Annalise Keating;Josvaldo Ferreira;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;5200
;;Dexter Morgan;Josvaldo Ferreira;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;5200
;;Elliot Alderson;Clementina Silva;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;5200
;;Gregory House;Clementina Silva;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;5200
;;Ítalo Teotônio;Carleta Joaquina;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;5200
;;Jack Bauer;Teobaldo Souza;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;5200
;;Michael Scofield;Astolfo Péricles;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;5200
;;Norma Bates;Teobaldo Souza;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;5200
;;Randal Pearson;Josvaldo Ferreira;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;5200
;;Shaun Murphy;Clementina Silva;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;5200
;;Thomas Shelby;Carleta Joaquina;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;5200
;;Walter White;Carleta Joaquina;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;5200
;Cerveja Bronze;Annalise Keating;Josvaldo Ferreira;Internet;7600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;10300
;;Dexter Morgan;Josvaldo Ferreira;Internet;7600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;10300
;;Elliot Alderson;Clementina Silva;Internet;7600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;10300
;;Gregory House;Clementina Silva;Internet;7600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;10300
;;Ítalo Teotônio;Carleta Joaquina;Internet;7600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;10300
;;Jack Bauer;Teobaldo Souza;Internet;7600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;10300
;;Michael Scofield;Astolfo Péricles;Internet;7600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;10300
;;Norma Bates;Teobaldo Souza;Internet;7600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;10300
;;Randal Pearson;Josvaldo Ferreira;Internet;7600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;10300
;;Shaun Murphy;Clementina Silva;Internet;7600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;10300
;;Thomas Shelby;Carleta Joaquina;Internet;7600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;10300
;;Walter White;Carleta Joaquina;Internet;7600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;10300
;Cerveja Diamante;Annalise Keating;Josvaldo Ferreira;Internet;17200
;;;;Lojas Afiliadas;19000
;;;;Lojas Próprias;19500
;;Dexter Morgan;Josvaldo Ferreira;Internet;17200
;;;;Lojas Afiliadas;19000
;;;;Lojas Próprias;19500
;;Elliot Alderson;Clementina Silva;Internet;17200
;;;;Lojas Afiliadas;19000
;;;;Lojas Próprias;19500
;;Gregory House;Clementina Silva;Internet;17200
;;;;Lojas Afiliadas;19000
;;;;Lojas Próprias;19500
;;Ítalo Teotônio;Carleta Joaquina;Internet;17200
;;;;Lojas Afiliadas;19000
;;;;Lojas Próprias;19500
;;Jack Bauer;Teobaldo Souza;Internet;17200
;;;;Lojas Afiliadas;19000
;;;;Lojas Próprias;19500
;;Michael Scofield;Astolfo Péricles;Internet;17200
;;;;Lojas Afiliadas;19000
;;;;Lojas Próprias;19500
;;Norma Bates;Teobaldo Souza;Internet;17200
;;;;Lojas Afiliadas;19000
;;;;Lojas Próprias;19500
;;Randal Pearson;Josvaldo Ferreira;Internet;17200
;;;;Lojas Afiliadas;19000
;;;;Lojas Próprias;19500
;;Shaun Murphy;Clementina Silva;Internet;17200
;;;;Lojas Afiliadas;19000
;;;;Lojas Próprias;19500
;;Thomas Shelby;Carleta Joaquina;Internet;17200
;;;;Lojas Afiliadas;19000
;;;;Lojas Próprias;19500
;;Walter White;Carleta Joaquina;Internet;17200
;;;;Lojas Afiliadas;19000
;;;;Lojas Próprias;19500
;Cerveja Ouro;Annalise Keating;Josvaldo Ferreira;Internet;13600
;;;;Lojas Afiliadas;14600
;;;;Lojas Próprias;18900
;;Dexter Morgan;Josvaldo Ferreira;Internet;13600
;;;;Lojas Afiliadas;14600
;;;;Lojas Próprias;18900
;;Elliot Alderson;Clementina Silva;Internet;13600
;;;;Lojas Afiliadas;14600
;;;;Lojas Próprias;18900
;;Gregory House;Clementina Silva;Internet;13600
;;;;Lojas Afiliadas;14600
;;;;Lojas Próprias;18900
;;Ítalo Teotônio;Carleta Joaquina;Internet;13600
;;;;Lojas Afiliadas;14600
;;;;Lojas Próprias;18900
;;Jack Bauer;Teobaldo Souza;Internet;13600
;;;;Lojas Afiliadas;14600
;;;;Lojas Próprias;18900
;;Michael Scofield;Astolfo Péricles;Internet;13600
;;;;Lojas Afiliadas;14600
;;;;Lojas Próprias;18900
;;Norma Bates;Teobaldo Souza;Internet;13600
;;;;Lojas Afiliadas;14600
;;;;Lojas Próprias;18900
;;Randal Pearson;Josvaldo Ferreira;Internet;13600
;;;;Lojas Afiliadas;14600
;;;;Lojas Próprias;18900
;;Shaun Murphy;Clementina Silva;Internet;13600
;;;;Lojas Afiliadas;14600
;;;;Lojas Próprias;18900
;;Thomas Shelby;Carleta Joaquina;Internet;13600
;;;;Lojas Afiliadas;14600
;;;;Lojas Próprias;18900
;;Walter White;Carleta Joaquina;Internet;13600
;;;;Lojas Afiliadas;14600
;;;;Lojas Próprias;18900
;Cerveja Prata;Annalise Keating;Josvaldo Ferreira;Internet;9700
;;;;Lojas Afiliadas;15200
;;;;Lojas Próprias;15100
;;Dexter Morgan;Josvaldo Ferreira;Internet;9700
;;;;Lojas Afiliadas;15200
;;;;Lojas Próprias;15100
;;Elliot Alderson;Clementina Silva;Internet;9700
;;;;Lojas Afiliadas;15200
;;;;Lojas Próprias;15100
;;Gregory House;Clementina Silva;Internet;9700
;;;;Lojas Afiliadas;15200
;;;;Lojas Próprias;15100
;;Ítalo Teotônio;Carleta Joaquina;Internet;9700
;;;;Lojas Afiliadas;15200
;;;;Lojas Próprias;15100
;;Jack Bauer;Teobaldo Souza;Internet;9700
;;;;Lojas Afiliadas;15200
;;;;Lojas Próprias;15100
;;Michael Scofield;Astolfo Péricles;Internet;9700
;;;;Lojas Afiliadas;15200
;;;;Lojas Próprias;15100
;;Norma Bates;Teobaldo Souza;Internet;9700
;;;;Lojas Afiliadas;15200
;;;;Lojas Próprias;15100
;;Randal Pearson;Josvaldo Ferreira;Internet;9700
;;;;Lojas Afiliadas;15200
;;;;Lojas Próprias;15100
;;Shaun Murphy;Clementina Silva;Internet;9700
;;;;Lojas Afiliadas;15200
;;;;Lojas Próprias;15100
;;Thomas Shelby;Carleta Joaquina;Internet;9700
;;;;Lojas Afiliadas;15200
;;;;Lojas Próprias;15100
;;Walter White;Carleta Joaquina;Internet;9700
;;;;Lojas Afiliadas;15200
;;;;Lojas Próprias;15100
;Refrigerante Bronze;Annalise Keating;Josvaldo Ferreira;Internet;7400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8000
;;Dexter Morgan;Josvaldo Ferreira;Internet;7400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8000
;;Elliot Alderson;Clementina Silva;Internet;7400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8000
;;Gregory House;Clementina Silva;Internet;7400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8000
;;Ítalo Teotônio;Carleta Joaquina;Internet;7400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8000
;;Jack Bauer;Teobaldo Souza;Internet;7400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8000
;;Michael Scofield;Astolfo Péricles;Internet;7400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8000
;;Norma Bates;Teobaldo Souza;Internet;7400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8000
;;Randal Pearson;Josvaldo Ferreira;Internet;7400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8000
;;Shaun Murphy;Clementina Silva;Internet;7400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8000
;;Thomas Shelby;Carleta Joaquina;Internet;7400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8000
;;Walter White;Carleta Joaquina;Internet;7400
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;8000
;Refrigerante Diamante;Annalise Keating;Josvaldo Ferreira;Internet;9900
;;;;Lojas Afiliadas;9400
;;;;Lojas Próprias;13100
;;Dexter Morgan;Josvaldo Ferreira;Internet;9900
;;;;Lojas Afiliadas;9400
;;;;Lojas Próprias;13100
;;Elliot Alderson;Clementina Silva;Internet;9900
;;;;Lojas Afiliadas;9400
;;;;Lojas Próprias;13100
;;Gregory House;Clementina Silva;Internet;9900
;;;;Lojas Afiliadas;9400
;;;;Lojas Próprias;13100
;;Ítalo Teotônio;Carleta Joaquina;Internet;9900
;;;;Lojas Afiliadas;9400
;;;;Lojas Próprias;13100
;;Jack Bauer;Teobaldo Souza;Internet;9900
;;;;Lojas Afiliadas;9400
;;;;Lojas Próprias;13100
;;Michael Scofield;Astolfo Péricles;Internet;9900
;;;;Lojas Afiliadas;9400
;;;;Lojas Próprias;13100
;;Norma Bates;Teobaldo Souza;Internet;9900
;;;;Lojas Afiliadas;9400
;;;;Lojas Próprias;13100
;;Randal Pearson;Josvaldo Ferreira;Internet;9900
;;;;Lojas Afiliadas;9400
;;;;Lojas Próprias;13100
;;Shaun Murphy;Clementina Silva;Internet;9900
;;;;Lojas Afiliadas;9400
;;;;Lojas Próprias;13100
;;Thomas Shelby;Carleta Joaquina;Internet;9900
;;;;Lojas Afiliadas;9400
;;;;Lojas Próprias;13100
;;Walter White;Carleta Joaquina;Internet;9900
;;;;Lojas Afiliadas;9400
;;;;Lojas Próprias;13100
;Refrigerante Ouro;Annalise Keating;Josvaldo Ferreira;Internet;8200
;;;;Lojas Afiliadas;8600
;;;;Lojas Próprias;12500
;;Dexter Morgan;Josvaldo Ferreira;Internet;8200
;;;;Lojas Afiliadas;8600
;;;;Lojas Próprias;12500
;;Elliot Alderson;Clementina Silva;Internet;8200
;;;;Lojas Afiliadas;8600
;;;;Lojas Próprias;12500
;;Gregory House;Clementina Silva;Internet;8200
;;;;Lojas Afiliadas;8600
;;;;Lojas Próprias;12500
;;Ítalo Teotônio;Carleta Joaquina;Internet;8200
;;;;Lojas Afiliadas;8600
;;;;Lojas Próprias;12500
;;Jack Bauer;Teobaldo Souza;Internet;8200
;;;;Lojas Afiliadas;8600
;;;;Lojas Próprias;12500
;;Michael Scofield;Astolfo Péricles;Internet;8200
;;;;Lojas Afiliadas;8600
;;;;Lojas Próprias;12500
;;Norma Bates;Teobaldo Souza;Internet;8200
;;;;Lojas Afiliadas;8600
;;;;Lojas Próprias;12500
;;Randal Pearson;Josvaldo Ferreira;Internet;8200
;;;;Lojas Afiliadas;8600
;;;;Lojas Próprias;12500
;;Shaun Murphy;Clementina Silva;Internet;8200
;;;;Lojas Afiliadas;8600
;;;;Lojas Próprias;12500
;;Thomas Shelby;Carleta Joaquina;Internet;8200
;;;;Lojas Afiliadas;8600
;;;;Lojas Próprias;12500
;;Walter White;Carleta Joaquina;Internet;8200
;;;;Lojas Afiliadas;8600
;;;;Lojas Próprias;12500
;Refrigerante Prata;Annalise Keating;Josvaldo Ferreira;Internet;8000
;;;;Lojas Afiliadas;11900
;;;;Lojas Próprias;13000
;;Dexter Morgan;Josvaldo Ferreira;Internet;8000
;;;;Lojas Afiliadas;11900
;;;;Lojas Próprias;13000
;;Elliot Alderson;Clementina Silva;Internet;8000
;;;;Lojas Afiliadas;11900
;;;;Lojas Próprias;13000
;;Gregory House;Clementina Silva;Internet;8000
;;;;Lojas Afiliadas;11900
;;;;Lojas Próprias;13000
;;Ítalo Teotônio;Carleta Joaquina;Internet;8000
;;;;Lojas Afiliadas;11900
;;;;Lojas Próprias;13000
;;Jack Bauer;Teobaldo Souza;Internet;8000
;;;;Lojas Afiliadas;11900
;;;;Lojas Próprias;13000
;;Michael Scofield;Astolfo Péricles;Internet;8000
;;;;Lojas Afiliadas;11900
;;;;Lojas Próprias;13000
;;Norma Bates;Teobaldo Souza;Internet;8000
;;;;Lojas Afiliadas;11900
;;;;Lojas Próprias;13000
;;Randal Pearson;Josvaldo Ferreira;Internet;8000
;;;;Lojas Afiliadas;11900
;;;;Lojas Próprias;13000
;;Shaun Murphy;Clementina Silva;Internet;8000
;;;;Lojas Afiliadas;11900
;;;;Lojas Próprias;13000
;;Thomas Shelby;Carleta Joaquina;Internet;8000
;;;;Lojas Afiliadas;11900
;;;;Lojas Próprias;13000
;;Walter White;Carleta Joaquina;Internet;8000
;;;;Lojas Afiliadas;11900
;;;;Lojas Próprias;13000
;Suco Bronze;Annalise Keating;Josvaldo Ferreira;Internet;4200
;;;;Lojas Afiliadas;6700
;;;;Lojas Próprias;7900
;;Dexter Morgan;Josvaldo Ferreira;Internet;4200
;;;;Lojas Afiliadas;6700
;;;;Lojas Próprias;7900
;;Elliot Alderson;Clementina Silva;Internet;4200
;;;;Lojas Afiliadas;6700
;;;;Lojas Próprias;7900
;;Gregory House;Clementina Silva;Internet;4200
;;;;Lojas Afiliadas;6700
;;;;Lojas Próprias;7900
;;Ítalo Teotônio;Carleta Joaquina;Internet;4200
;;;;Lojas Afiliadas;6700
;;;;Lojas Próprias;7900
;;Jack Bauer;Teobaldo Souza;Internet;4200
;;;;Lojas Afiliadas;6700
;;;;Lojas Próprias;7900
;;Michael Scofield;Astolfo Péricles;Internet;4200
;;;;Lojas Afiliadas;6700
;;;;Lojas Próprias;7900
;;Norma Bates;Teobaldo Souza;Internet;4200
;;;;Lojas Afiliadas;6700
;;;;Lojas Próprias;7900
;;Randal Pearson;Josvaldo Ferreira;Internet;4200
;;;;Lojas Afiliadas;6700
;;;;Lojas Próprias;7900
;;Shaun Murphy;Clementina Silva;Internet;4200
;;;;Lojas Afiliadas;6700
;;;;Lojas Próprias;7900
;;Thomas Shelby;Carleta Joaquina;Internet;4200
;;;;Lojas Afiliadas;6700
;;;;Lojas Próprias;7900
;;Walter White;Carleta Joaquina;Internet;4200
;;;;Lojas Afiliadas;6700
;;;;Lojas Próprias;7900
;Suco Diamante;Annalise Keating;Josvaldo Ferreira;Internet;5800
;;;;Lojas Afiliadas;5300
;;;;Lojas Próprias;7900
;;Dexter Morgan;Josvaldo Ferreira;Internet;5800
;;;;Lojas Afiliadas;5300
;;;;Lojas Próprias;7900
;;Elliot Alderson;Clementina Silva;Internet;5800
;;;;Lojas Afiliadas;5300
;;;;Lojas Próprias;7900
;;Gregory House;Clementina Silva;Internet;5800
;;;;Lojas Afiliadas;5300
;;;;Lojas Próprias;7900
;;Ítalo Teotônio;Carleta Joaquina;Internet;5800
;;;;Lojas Afiliadas;5300
;;;;Lojas Próprias;7900
;;Jack Bauer;Teobaldo Souza;Internet;5800
;;;;Lojas Afiliadas;5300
;;;;Lojas Próprias;7900
;;Michael Scofield;Astolfo Péricles;Internet;5800
;;;;Lojas Afiliadas;5300
;;;;Lojas Próprias;7900
;;Norma Bates;Teobaldo Souza;Internet;5800
;;;;Lojas Afiliadas;5300
;;;;Lojas Próprias;7900
;;Randal Pearson;Josvaldo Ferreira;Internet;5800
;;;;Lojas Afiliadas;5300
;;;;Lojas Próprias;7900
;;Shaun Murphy;Clementina Silva;Internet;5800
;;;;Lojas Afiliadas;5300
;;;;Lojas Próprias;7900
;;Thomas Shelby;Carleta Joaquina;Internet;5800
;;;;Lojas Afiliadas;5300
;;;;Lojas Próprias;7900
;;Walter White;Carleta Joaquina;Internet;5800
;;;;Lojas Afiliadas;5300
;;;;Lojas Próprias;7900
;Suco Ouro;Annalise Keating;Josvaldo Ferreira;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;8200
;;Dexter Morgan;Josvaldo Ferreira;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;8200
;;Elliot Alderson;Clementina Silva;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;8200
;;Gregory House;Clementina Silva;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;8200
;;Ítalo Teotônio;Carleta Joaquina;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;8200
;;Jack Bauer;Teobaldo Souza;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;8200
;;Michael Scofield;Astolfo Péricles;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;8200
;;Norma Bates;Teobaldo Souza;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;8200
;;Randal Pearson;Josvaldo Ferreira;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;8200
;;Shaun Murphy;Clementina Silva;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;8200
;;Thomas Shelby;Carleta Joaquina;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;8200
;;Walter White;Carleta Joaquina;Internet;6900
;;;;Lojas Afiliadas;4700
;;;;Lojas Próprias;8200
;Suco Prata;Annalise Keating;Josvaldo Ferreira;Internet;4600
;;;;Lojas Afiliadas;6100
;;;;Lojas Próprias;7600
;;Dexter Morgan;Josvaldo Ferreira;Internet;4600
;;;;Lojas Afiliadas;6100
;;;;Lojas Próprias;7600
;;Elliot Alderson;Clementina Silva;Internet;4600
;;;;Lojas Afiliadas;6100
;;;;Lojas Próprias;7600
;;Gregory House;Clementina Silva;Internet;4600
;;;;Lojas Afiliadas;6100
;;;;Lojas Próprias;7600
;;Ítalo Teotônio;Carleta Joaquina;Internet;4600
;;;;Lojas Afiliadas;6100
;;;;Lojas Próprias;7600
;;Jack Bauer;Teobaldo Souza;Internet;4600
;;;;Lojas Afiliadas;6100
;;;;Lojas Próprias;7600
;;Michael Scofield;Astolfo Péricles;Internet;4600
;;;;Lojas Afiliadas;6100
;;;;Lojas Próprias;7600
;;Norma Bates;Teobaldo Souza;Internet;4600
;;;;Lojas Afiliadas;6100
;;;;Lojas Próprias;7600
;;Randal Pearson;Josvaldo Ferreira;Internet;4600
;;;;Lojas Afiliadas;6100
;;;;Lojas Próprias;7600
;;Shaun Murphy;Clementina Silva;Internet;4600
;;;;Lojas Afiliadas;6100
;;;;Lojas Próprias;7600
;;Thomas Shelby;Carleta Joaquina;Internet;4600
;;;;Lojas Afiliadas;6100
;;;;Lojas Próprias;7600
;;Walter White;Carleta Joaquina;Internet;4600
;;;;Lojas Afiliadas;6100
;;;;Lojas Próprias;7600
29/02/2020;Café Bronze;Annalise Keating;Josvaldo Ferreira;Internet;3500
;;;;Lojas Afiliadas;3800
;;;;Lojas Próprias;5200
;;Dexter Morgan;Josvaldo Ferreira;Internet;3500
;;;;Lojas Afiliadas;3800
;;;;Lojas Próprias;5200
;;Elliot Alderson;Clementina Silva;Internet;3500
;;;;Lojas Afiliadas;3800
;;;;Lojas Próprias;5200
;;Gregory House;Clementina Silva;Internet;3500
;;;;Lojas Afiliadas;3800
;;;;Lojas Próprias;5200
;;Ítalo Teotônio;Carleta Joaquina;Internet;3500
;;;;Lojas Afiliadas;3800
;;;;Lojas Próprias;5200
;;Jack Bauer;Teobaldo Souza;Internet;3500
;;;;Lojas Afiliadas;3800
;;;;Lojas Próprias;5200
;;Michael Scofield;Astolfo Péricles;Internet;3500
;;;;Lojas Afiliadas;3800
;;;;Lojas Próprias;5200
;;Norma Bates;Teobaldo Souza;Internet;3500
;;;;Lojas Afiliadas;3800
;;;;Lojas Próprias;5200
;;Randal Pearson;Josvaldo Ferreira;Internet;3500
;;;;Lojas Afiliadas;3800
;;;;Lojas Próprias;5200
;;Shaun Murphy;Clementina Silva;Internet;3500
;;;;Lojas Afiliadas;3800
;;;;Lojas Próprias;5200
;;Thomas Shelby;Carleta Joaquina;Internet;3500
;;;;Lojas Afiliadas;3800
;;;;Lojas Próprias;5200
;;Walter White;Carleta Joaquina;Internet;3500
;;;;Lojas Afiliadas;3800
;;;;Lojas Próprias;5200
;Café Diamante;Annalise Keating;Josvaldo Ferreira;Internet;5600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;6900
;;Dexter Morgan;Josvaldo Ferreira;Internet;5600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;6900
;;Elliot Alderson;Clementina Silva;Internet;5600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;6900
;;Gregory House;Clementina Silva;Internet;5600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;6900
;;Ítalo Teotônio;Carleta Joaquina;Internet;5600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;6900
;;Jack Bauer;Teobaldo Souza;Internet;5600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;6900
;;Michael Scofield;Astolfo Péricles;Internet;5600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;6900
;;Norma Bates;Teobaldo Souza;Internet;5600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;6900
;;Randal Pearson;Josvaldo Ferreira;Internet;5600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;6900
;;Shaun Murphy;Clementina Silva;Internet;5600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;6900
;;Thomas Shelby;Carleta Joaquina;Internet;5600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;6900
;;Walter White;Carleta Joaquina;Internet;5600
;;;;Lojas Afiliadas;7600
;;;;Lojas Próprias;6900
;Café Ouro;Annalise Keating;Josvaldo Ferreira;Internet;4200
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6400
;;Dexter Morgan;Josvaldo Ferreira;Internet;4200
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6400
;;Elliot Alderson;Clementina Silva;Internet;4200
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6400
;;Gregory House;Clementina Silva;Internet;4200
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6400
;;Ítalo Teotônio;Carleta Joaquina;Internet;4200
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6400
;;Jack Bauer;Teobaldo Souza;Internet;4200
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6400
;;Michael Scofield;Astolfo Péricles;Internet;4200
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6400
;;Norma Bates;Teobaldo Souza;Internet;4200
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6400
;;Randal Pearson;Josvaldo Ferreira;Internet;4200
;;;;Lojas Afiliadas;7000
;;;;Lojas Próprias;6400
